"","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10"
"p36216",51,80,65,61,59,60,59,44,49,40
"p36217",66,91,82,63,57,51,47,41,40,41
"p36218",58,90,78,78,51,62,46,44,39,35
"p36219",56,72,66,59,63,56,51,49,51,37
"p36220",78,88,76,63,52,56,51,49,39,40
"p36221",62,78,101,72,55,55,50,37,35,36
"p36222",51,69,95,70,53,44,55,44,48,42
"p36223",53,74,79,66,52,44,47,47,46,42
"p36224",72,91,68,92,69,43,47,34,38,39
"p36225",55,87,79,73,64,50,53,46,43,32
"p36226",49,80,62,66,56,47,53,36,33,40
"p36227",44,98,66,72,54,43,46,54,42,45
"p36228",54,68,75,82,62,47,54,38,40,47
"p36229",54,94,77,72,56,48,48,43,42,43
"p36230",60,86,73,53,73,60,49,59,40,38
"p36231",62,86,65,74,69,56,60,46,43,40
"p36232",66,90,78,50,62,66,55,45,45,43
"p36233",63,87,73,70,53,50,45,50,46,34
"p36234",68,92,66,69,49,47,53,55,37,36
"p36235",65,87,77,74,52,55,46,44,38,29
"p36236",47,85,72,77,45,64,41,31,45,36
"p36237",40,94,76,58,68,58,42,43,31,40
"p36238",68,82,64,68,46,41,46,42,35,50
"p36239",61,92,86,67,78,60,48,39,35,40
"p36240",53,80,86,59,60,56,48,55,44,46
"p36241",61,84,61,71,59,50,37,51,43,34
"p36242",59,77,71,78,64,70,54,44,29,45
"p36243",60,90,81,56,71,58,50,34,44,31
"p36244",65,76,62,97,83,54,51,49,45,41
"p36245",53,79,78,77,68,40,58,46,34,35
"p36246",65,73,71,78,61,41,44,42,38,33
"p36247",58,100,67,66,70,48,51,42,30,39
"p36248",50,80,60,72,72,48,36,44,37,41
"p36249",60,60,66,61,59,52,55,64,43,31
"p36250",61,92,70,78,72,61,49,36,50,36
"p36251",74,88,84,65,68,57,51,38,52,46
"p36252",67,94,68,80,47,45,52,50,38,29
"p36253",52,83,67,73,73,62,61,44,43,38
"p36254",63,87,75,78,76,49,65,40,47,37
"p36255",54,58,61,67,73,51,54,40,33,33
"p36256",72,83,76,73,68,45,52,50,37,38
"p36257",44,84,72,67,62,55,47,44,35,39
"p36258",59,88,83,64,67,51,52,39,43,38
"p36259",70,70,93,63,63,55,43,52,47,46
"p36260",64,83,79,68,64,45,60,36,39,45
"p36261",45,94,83,61,55,61,40,51,44,45
"p36262",54,75,62,81,53,48,49,37,43,42
"p36263",69,92,53,63,65,58,48,41,35,31
"p36264",67,78,76,74,73,50,56,41,43,43
"p36265",51,87,70,84,66,49,54,51,33,39
"p36266",71,84,74,67,64,42,43,41,37,40
"p36267",58,87,95,65,55,55,65,51,46,37
"p36268",51,82,83,65,67,46,42,43,49,34
"p36269",82,91,85,72,66,50,43,47,37,43
"p36270",70,62,75,65,65,48,46,48,49,51
"p36271",52,76,79,64,59,62,52,55,29,38
"p36272",62,71,89,56,63,57,51,56,42,33
"p36273",59,87,78,60,69,58,55,38,49,35
"p36274",66,70,78,70,58,53,59,39,26,33
"p36275",56,91,82,68,70,62,53,46,40,42
"p36276",61,81,69,66,72,57,59,50,45,28
"p36277",46,102,76,69,57,58,60,49,40,37
"p36278",66,87,62,76,52,54,49,64,34,44
"p36279",46,74,76,77,68,50,48,53,36,40
"p36280",53,81,77,73,66,52,49,38,39,42
"p36281",81,87,65,71,55,64,54,50,41,46
"p36282",66,96,86,65,56,59,45,46,29,29
"p36283",65,87,68,72,67,64,42,40,50,42
"p36284",53,77,75,73,55,54,41,46,45,41
"p36285",56,82,67,79,52,67,64,33,38,26
"p36286",42,96,83,60,66,46,38,40,40,33
"p36287",63,103,86,60,54,52,53,49,54,43
"p36288",63,80,69,77,64,65,49,53,42,37
"p36289",56,69,68,66,70,45,52,35,30,41
"p36290",70,92,81,76,52,57,56,36,53,34
"p36291",62,97,89,73,42,66,56,34,48,27
"p36292",72,83,81,56,66,44,51,52,36,50
"p36293",57,83,81,60,57,58,49,42,49,35
"p36294",50,87,84,89,70,44,45,42,46,38
"p36295",61,78,62,60,55,65,42,50,34,41
"p36296",62,85,81,52,59,53,49,36,44,36
"p36297",73,75,85,67,50,44,50,51,41,49
"p36298",48,76,80,59,67,63,51,39,34,32
"p36299",66,89,72,62,59,63,50,46,44,34
"p36300",86,80,73,85,64,62,41,34,34,41
"p36301",71,77,84,61,56,62,31,45,47,43
"p36302",67,76,79,71,57,64,56,43,44,36
"p36303",57,81,84,74,63,46,56,46,40,35
"p36304",56,79,82,62,67,59,40,43,44,45
"p36305",57,91,84,62,60,55,51,33,34,47
"p36306",32,91,66,66,52,42,55,49,31,27
"p36307",63,74,69,63,56,55,68,30,32,39
"p36308",49,80,70,68,59,62,51,41,43,39
"p36309",69,89,77,63,67,54,53,39,31,38
"p36310",51,84,61,71,59,51,57,46,32,39
"p36311",65,93,61,83,56,63,42,48,43,32
"p36312",54,78,64,79,54,64,39,55,64,31
"p36313",58,81,81,75,62,67,46,47,23,43
"p36314",59,85,67,68,57,45,55,42,45,39
"p36315",83,91,71,61,66,49,49,37,48,40
"p36316",56,87,82,73,67,57,39,34,56,38
"p36317",53,70,66,57,69,57,48,37,46,45
"p36318",74,78,78,81,66,56,63,49,52,35
"p36319",61,82,79,72,53,74,42,49,39,39
"p36320",64,82,73,83,71,62,53,43,42,37
"p36321",62,85,80,62,56,56,57,43,45,28
"p36322",65,89,60,68,66,57,60,34,37,40
"p36323",51,82,68,65,60,54,52,49,39,26
"p36324",68,80,74,68,50,51,51,45,35,30
"p36325",54,96,73,75,51,50,53,39,46,37
"p36326",71,87,85,84,69,53,57,59,41,39
"p36327",56,87,81,56,53,49,53,37,35,48
"p36328",74,71,65,50,40,47,57,32,45,36
"p36329",67,89,89,68,39,51,58,36,32,45
"p36330",64,70,86,61,68,52,57,45,44,47
"p36331",67,74,80,65,66,54,61,37,34,39
"p36332",63,54,88,57,61,60,50,33,47,36
"p36333",60,73,73,66,57,52,46,48,54,33
"p36334",65,73,78,83,62,56,43,44,44,41
"p36335",59,72,85,53,69,54,42,39,44,38
"p36336",62,86,65,53,68,70,42,53,38,31
"p36337",48,80,79,72,71,58,51,50,49,40
"p36338",66,81,65,78,47,54,48,46,46,31
"p36339",61,91,77,63,63,59,58,42,50,48
"p36340",64,106,83,62,56,64,38,40,42,49
"p36341",65,88,68,59,61,48,57,47,40,43
"p36342",55,76,77,66,53,47,44,41,51,32
"p36343",69,69,83,58,70,55,42,52,50,36
"p36344",50,67,73,68,61,47,51,47,39,45
"p36345",55,82,71,82,57,45,55,43,35,45
"p36346",62,75,79,59,58,56,43,45,41,37
"p36347",75,85,68,78,46,53,46,40,37,37
"p36348",57,77,67,70,56,57,44,59,38,35
"p36349",59,79,76,73,61,41,45,53,50,48
"p36350",72,75,68,59,52,54,60,43,40,34
"p36351",62,94,62,62,53,49,58,35,41,36
"p36352",62,68,60,63,66,67,61,60,41,47
"p36353",53,65,69,59,56,56,56,46,41,33
"p36354",78,75,67,81,46,57,46,55,44,36
"p36355",63,96,68,74,71,58,47,46,39,38
"p36356",59,81,67,66,47,47,43,48,36,36
"p36357",62,92,70,75,54,58,48,53,35,45
"p36358",44,90,82,68,69,53,54,43,42,37
"p36359",58,75,82,57,57,53,50,64,41,33
"p36360",68,57,70,72,58,51,53,40,41,29
"p36361",70,91,67,65,55,57,40,44,46,47
"p36362",47,77,96,79,42,50,48,51,27,32
"p36363",50,71,72,65,62,60,38,42,47,37
"p36364",65,74,76,79,57,54,61,49,35,38
"p36365",63,72,65,60,56,69,54,48,36,31
"p36366",64,72,70,55,56,66,65,34,51,44
"p36367",56,67,78,66,73,47,44,49,51,35
"p36368",49,86,65,75,75,51,48,42,26,36
"p36369",53,98,60,67,53,60,48,31,45,52
"p36370",68,91,84,60,61,39,50,39,43,42
"p36371",59,81,77,65,72,51,47,50,44,53
"p36372",51,72,79,53,70,45,54,40,38,39
"p36373",50,89,75,61,51,63,41,47,39,30
"p36374",58,79,87,68,72,62,47,50,36,28
"p36375",56,92,74,49,64,51,47,46,45,43
"p36376",76,82,73,84,52,53,57,42,51,24
"p36377",54,73,78,57,60,59,54,41,44,31
"p36378",74,76,71,66,66,55,48,41,34,34
"p36379",73,83,89,57,60,53,42,38,47,36
"p36380",75,77,85,65,62,45,44,51,48,29
"p36381",64,85,84,60,65,52,59,44,48,42
"p36382",52,82,95,75,67,51,48,48,45,33
"p36383",57,84,68,67,62,42,45,50,54,34
"p36384",64,83,84,48,58,69,36,34,46,40
"p36385",57,79,59,60,58,59,62,47,40,33
"p36386",57,78,78,67,63,56,45,34,38,38
"p36387",68,75,59,63,52,59,54,45,41,26
"p36388",73,93,75,62,66,56,52,46,53,38
"p36389",55,90,65,70,54,50,54,42,37,40
"p36390",62,100,61,68,68,45,46,36,36,29
"p36391",60,70,76,65,53,58,51,37,46,33
"p36392",48,84,82,70,65,54,56,45,48,42
"p36393",86,83,72,57,64,52,39,34,46,45
"p36394",53,71,85,56,57,50,44,48,34,42
"p36395",55,71,85,72,74,59,50,47,46,33
"p36396",50,86,84,73,55,59,39,43,42,37
"p36397",57,81,77,64,65,46,55,47,31,28
"p36398",65,70,74,74,59,49,68,44,40,41
"p36399",53,80,77,82,53,57,43,42,42,30
"p36400",47,71,75,75,66,64,48,44,34,33
"p36401",53,84,94,79,70,56,47,54,32,39
"p36402",54,77,67,68,53,74,46,44,42,37
"p36403",55,86,61,65,54,57,62,45,45,31
"p36404",56,96,83,67,53,64,41,41,49,36
"p36405",38,89,62,58,63,59,66,42,34,44
"p36406",76,80,63,66,76,56,41,48,52,32
"p36407",59,90,64,57,66,62,53,35,39,27
"p36408",55,82,70,64,55,46,39,34,29,31
"p36409",58,88,79,60,54,42,54,30,44,45
"p36410",52,74,73,70,58,49,65,41,34,46
"p36411",61,63,73,54,54,52,53,35,41,41
"p36412",45,69,80,62,69,69,58,52,35,32
"p36413",75,83,83,76,54,53,52,54,36,30
"p36414",57,92,70,71,54,48,52,36,39,35
"p36415",67,84,76,83,47,49,38,41,33,33
"p36416",55,80,78,86,72,53,47,53,31,40
"p36417",61,74,63,69,68,50,43,42,52,49
"p36418",63,92,87,62,61,65,57,40,45,40
"p36419",47,89,56,74,68,53,54,47,32,44
"p36420",63,82,71,67,70,63,62,46,50,42
"p36421",59,79,71,78,50,49,30,46,48,46
"p36422",75,94,73,73,58,39,48,46,38,34
"p36423",62,70,74,68,62,50,54,41,37,41
"p36424",63,91,78,64,65,50,42,35,35,31
"p36425",60,67,72,68,68,67,52,54,39,27
"p36426",69,85,76,68,62,44,50,57,41,36
"p36427",50,85,72,70,50,48,53,41,56,42
"p36428",67,81,70,65,64,57,48,56,40,27
"p36429",55,65,72,80,64,45,48,38,43,54
"p36430",52,79,78,79,61,53,45,37,33,40
"p36431",57,79,68,64,48,44,45,44,51,36
"p36432",70,81,79,54,56,50,41,41,36,31
"p36433",63,72,67,71,67,65,40,41,47,36
"p36434",56,72,73,70,57,44,48,43,35,48
"p36435",49,74,87,74,60,55,51,44,35,34
"p36436",69,87,74,67,57,75,61,53,46,44
"p36437",61,82,82,64,56,60,40,48,36,44
"p36438",55,76,62,46,56,63,55,44,28,47
"p36439",62,100,71,77,52,62,35,56,49,48
"p36440",60,87,70,66,56,61,57,37,34,39
"p36441",57,88,92,69,64,52,55,37,47,35
"p36442",56,78,68,77,58,60,45,48,43,36
"p36443",42,76,62,71,51,53,51,41,41,38
"p36444",61,98,69,72,53,58,58,43,45,27
"p36445",59,73,79,68,75,51,42,42,35,34
"p36446",55,70,73,67,65,60,67,38,46,42
"p36447",66,79,82,75,51,49,40,58,36,49
"p36448",66,95,78,51,45,56,49,50,49,31
"p36449",50,74,88,64,50,48,45,38,54,40
"p36450",67,75,75,57,66,43,46,47,41,32
"p36451",71,90,66,57,60,74,55,49,35,42
"p36452",58,92,84,70,65,59,42,51,54,41
"p36453",76,94,67,58,68,48,41,57,40,35
"p36454",61,88,66,58,59,53,49,39,45,29
"p36455",65,77,82,72,53,45,42,48,40,29
"p36456",53,80,84,68,56,46,54,38,49,30
"p36457",56,72,72,60,68,67,65,40,44,43
"p36458",56,93,75,61,68,57,41,58,42,40
"p36459",55,92,73,64,67,48,46,40,40,24
"p36460",46,89,59,65,59,61,47,37,42,35
"p36461",60,85,72,65,65,65,54,43,46,41
"p36462",51,74,81,70,67,55,43,38,36,35
"p36463",68,86,85,65,67,53,41,42,45,42
"p36464",52,75,72,63,67,59,43,39,45,38
"p36465",62,73,73,66,55,73,55,54,34,50
"p36466",64,83,77,82,61,60,53,54,32,35
"p36467",66,82,65,72,59,62,52,46,39,36
"p36468",60,73,65,60,42,55,40,50,24,31
"p36469",51,96,91,75,64,56,40,50,41,29
"p36470",77,90,78,58,56,57,47,46,43,37
"p36471",59,78,71,70,50,56,59,33,49,33
"p36472",66,80,84,70,65,55,52,39,42,27
"p36473",54,87,65,69,60,58,47,39,41,36
"p36474",59,101,75,62,63,47,41,40,42,37
"p36475",55,76,78,71,52,46,60,41,41,39
"p36476",60,80,69,66,66,55,35,29,38,39
"p36477",58,61,67,77,56,58,59,46,39,38
"p36478",56,85,81,58,59,54,53,59,52,46
"p36479",70,82,79,75,49,55,46,32,37,39
"p36480",55,74,78,70,66,65,57,49,33,41
"p36481",44,65,63,52,57,48,54,53,31,34
"p36482",57,78,74,61,66,52,52,42,44,31
"p36483",48,76,93,62,56,55,52,47,35,45
"p36484",65,73,80,64,70,57,49,42,34,32
"p36485",58,78,88,58,47,56,54,47,43,52
"p36486",61,92,73,65,68,62,56,54,47,29
"p36487",62,95,58,62,62,57,55,55,40,31
"p36488",60,70,73,55,50,53,49,48,44,26
"p36489",64,81,80,67,49,48,64,47,49,29
"p36490",68,84,77,66,61,57,46,43,54,47
"p36491",57,92,78,65,52,45,51,37,42,32
"p36492",61,77,74,57,52,54,57,49,37,35
"p36493",71,81,70,56,63,49,59,40,33,54
"p36494",79,65,74,61,59,54,43,44,47,36
"p36495",42,73,81,66,51,61,54,30,39,40
"p36496",55,83,88,66,69,59,64,51,40,47
"p36497",74,85,76,67,56,68,58,36,51,29
"p36498",65,88,83,68,53,55,59,51,44,37
"p36499",55,76,77,61,48,51,54,42,54,38
"p36500",51,83,74,72,57,52,45,43,50,36
"p36501",78,89,83,77,61,63,33,40,40,35
"p36502",53,83,76,68,62,64,55,47,26,48
"p36503",55,62,59,72,58,62,48,45,35,41
"p36504",55,92,70,68,55,49,49,49,41,41
"p36505",54,75,70,63,68,71,36,49,37,47
"p36506",54,88,82,67,53,53,40,36,34,33
"p36507",58,84,86,61,73,64,55,44,34,35
"p36508",55,90,69,75,58,58,52,37,44,34
"p36509",45,74,84,66,61,56,61,50,36,36
"p36510",58,88,75,64,57,61,63,35,33,33
"p36511",68,57,71,51,68,66,61,55,42,30
"p36512",55,69,77,59,65,50,52,48,31,31
"p36513",60,80,74,72,62,51,57,56,33,39
"p36514",47,84,66,76,61,71,57,46,39,22
"p36515",65,69,85,66,77,66,67,43,46,39
"p36516",71,85,76,72,68,53,39,46,37,32
"p36517",62,78,90,71,66,53,52,44,44,29
"p36518",66,76,80,63,64,59,49,44,36,34
"p36519",56,62,65,57,48,69,43,51,38,31
"p36520",60,82,64,71,49,68,32,35,44,23
"p36521",52,85,80,62,59,54,42,57,45,29
"p36522",58,84,73,66,75,53,45,45,36,39
"p36523",55,77,84,65,62,57,57,35,40,36
"p36524",69,81,85,80,63,58,53,37,31,36
"p36525",60,67,74,67,62,58,35,38,37,40
"p36526",56,73,57,63,64,64,56,38,31,42
"p36527",74,83,76,64,60,63,59,35,41,37
"p36528",67,76,81,67,50,55,39,64,47,39
"p36529",64,82,74,66,50,38,48,51,49,35
"p36530",54,78,79,51,58,51,47,48,46,38
"p36531",53,66,76,62,54,63,56,49,49,26
"p36532",48,75,63,66,53,44,50,39,41,33
"p36533",65,97,83,83,65,56,40,50,34,38
"p36534",61,91,76,59,49,55,59,47,45,44
"p36535",56,94,77,61,64,52,55,51,40,31
"p36536",71,82,80,52,51,52,61,39,42,47
"p36537",63,84,69,71,66,43,41,45,31,44
"p36538",53,79,77,62,46,48,61,49,39,39
"p36539",71,72,86,60,52,60,51,37,42,34
"p36540",52,75,75,67,49,59,45,40,32,48
"p36541",63,76,75,67,59,55,50,44,33,39
"p36542",54,85,68,79,61,61,40,43,38,31
"p36543",68,106,72,62,58,50,59,46,32,37
"p36544",67,78,64,77,64,55,42,51,53,28
"p36545",57,77,69,69,54,56,45,48,37,30
"p36546",68,85,74,71,63,75,41,36,31,35
"p36547",41,75,60,81,55,45,56,47,35,31
"p36548",66,88,60,77,63,65,52,51,42,40
"p36549",50,93,82,64,64,64,46,39,51,30
"p36550",62,69,80,74,57,49,46,40,39,27
"p36551",65,89,68,86,79,51,51,46,32,38
"p36552",60,88,77,72,67,52,45,52,39,47
"p36553",51,72,71,65,67,68,44,47,37,47
"p36554",65,87,76,60,60,53,46,54,38,37
"p36555",56,79,75,59,46,61,49,48,39,39
"p36556",65,71,67,58,60,51,51,35,49,43
"p36557",47,85,81,75,66,68,34,32,42,28
"p36558",55,63,88,69,76,54,46,39,48,32
"p36559",55,78,70,70,59,58,40,48,36,33
"p36560",52,78,59,54,70,54,39,40,34,50
"p36561",48,95,99,63,68,53,51,52,36,39
"p36562",46,80,79,66,64,57,64,55,38,37
"p36563",45,73,70,72,59,54,34,41,45,47
"p36564",44,83,74,62,76,59,41,32,40,40
"p36565",68,85,79,51,63,61,52,46,55,42
"p36566",56,65,69,72,68,44,36,45,38,56
"p36567",67,96,86,75,58,57,47,38,34,35
"p36568",61,92,80,61,50,59,56,42,46,41
"p36569",61,79,70,69,66,53,56,39,51,33
"p36570",56,65,79,79,51,60,49,61,48,35
"p36571",50,91,74,54,69,71,51,38,36,30
"p36572",57,87,77,73,58,47,42,55,36,44
"p36573",54,82,66,68,65,56,52,47,49,39
"p36574",50,82,71,73,72,47,65,33,38,33
"p36575",73,82,76,62,61,48,48,40,42,42
"p36576",57,88,85,75,50,51,51,55,38,40
"p36577",73,77,80,79,68,41,54,43,35,33
"p36578",72,79,60,57,51,58,52,50,26,25
"p36579",56,99,71,71,66,57,44,43,36,33
"p36580",55,66,68,60,59,56,56,33,37,35
"p36581",71,92,82,67,45,56,43,48,31,39
"p36582",51,86,69,60,57,55,57,35,31,43
"p36583",59,93,78,80,67,44,52,48,53,23
"p36584",67,84,81,64,78,47,46,48,39,38
"p36585",69,73,84,70,57,69,63,41,37,40
"p36586",66,78,73,75,44,54,57,41,41,40
"p36587",63,80,83,65,68,62,53,47,41,34
"p36588",64,107,76,71,71,41,47,45,35,34
"p36589",73,70,68,75,63,67,48,39,41,40
"p36590",63,66,71,70,52,46,44,43,42,36
"p36591",75,80,73,80,67,58,33,49,37,33
"p36592",53,78,60,75,66,62,47,30,42,44
"p36593",58,96,63,64,65,48,41,49,35,46
"p36594",65,77,83,62,65,48,60,44,37,37
"p36595",65,65,83,70,58,54,50,48,32,43
"p36596",71,79,95,65,61,47,53,46,32,36
"p36597",57,76,71,67,47,61,51,47,42,21
"p36598",71,94,74,76,63,55,48,42,38,30
"p36599",60,77,70,70,53,50,55,38,34,29
"p36600",59,87,81,63,52,58,48,46,40,41
"p36601",64,83,69,69,54,59,59,45,43,29
"p36602",58,83,70,70,56,47,52,47,46,31
"p36603",64,70,66,72,57,55,59,47,51,36
"p36604",55,90,73,68,67,52,56,45,35,34
"p36605",66,94,80,70,76,66,50,40,51,52
"p36606",62,76,67,53,88,52,54,40,31,33
"p36607",65,77,71,68,61,62,56,45,42,32
"p36608",56,94,69,72,56,54,51,48,36,37
"p36609",54,77,72,53,73,50,46,54,51,29
"p36610",60,86,93,68,64,55,47,44,45,41
"p36611",60,78,65,85,61,50,56,46,39,28
"p36612",78,71,76,73,65,58,51,48,33,35
"p36613",59,85,66,68,65,66,46,49,27,48
"p36614",55,75,69,63,68,54,60,47,44,31
"p36615",64,100,73,69,62,59,56,51,43,44
"p36616",57,93,77,60,65,52,50,42,40,35
"p36617",56,82,63,73,61,65,48,49,35,36
"p36618",59,76,69,75,54,51,53,47,35,30
"p36619",70,75,79,52,57,51,58,43,40,48
"p36620",69,87,73,80,61,55,49,51,39,34
"p36621",56,96,76,73,61,45,38,43,43,39
"p36622",59,77,77,85,72,52,60,32,48,33
"p36623",50,101,72,55,54,52,54,57,36,24
"p36624",40,69,74,69,52,67,49,44,33,45
"p36625",54,76,65,52,66,45,55,47,38,48
"p36626",55,83,64,73,63,52,47,52,42,35
"p36627",57,68,70,58,66,67,51,47,35,30
"p36628",59,83,85,60,70,52,53,52,54,49
"p36629",57,86,76,83,58,49,65,35,45,34
"p36630",61,79,99,68,70,65,55,56,50,38
"p36631",67,94,87,67,62,50,30,49,45,35
"p36632",75,86,54,68,61,50,54,42,49,37
"p36633",54,82,70,74,54,60,61,48,26,39
"p36634",85,81,81,67,64,50,45,53,42,44
"p36635",70,104,84,71,46,50,58,45,39,26
"p36636",61,74,79,80,64,64,44,36,49,37
"p36637",61,82,83,66,69,47,59,39,46,40
"p36638",75,88,69,64,58,78,44,33,34,51
"p36639",58,96,67,67,65,50,48,37,47,50
"p36640",48,79,60,64,68,58,49,45,43,36
"p36641",50,88,64,75,63,55,55,46,38,37
"p36642",55,73,75,50,44,54,48,26,41,40
"p36643",58,83,61,75,58,55,39,49,46,35
"p36644",56,90,83,78,51,55,62,48,39,43
"p36645",63,81,69,60,55,56,41,40,51,33
"p36646",67,71,74,76,63,62,47,36,40,36
"p36647",63,106,79,67,52,53,46,44,41,27
"p36648",63,81,76,63,61,58,41,48,58,32
"p36649",62,66,81,72,61,56,46,44,43,38
"p36650",44,85,56,66,52,47,64,51,47,43
"p36651",70,86,80,72,63,49,49,45,37,36
"p36652",52,92,71,68,65,47,52,50,42,37
"p36653",57,85,81,55,42,40,51,43,40,30
"p36654",56,78,68,67,65,43,54,52,37,26
"p36655",57,89,72,66,55,55,45,48,54,39
"p36656",73,80,52,53,50,61,53,35,37,38
"p36657",67,87,62,80,50,63,55,43,33,44
"p36658",57,87,69,61,73,52,37,53,42,50
"p36659",68,79,89,69,70,60,43,41,32,39
"p36660",53,87,73,70,58,58,54,41,36,39
"p36661",72,90,73,54,58,49,59,38,36,34
"p36662",55,76,86,68,52,38,54,54,34,40
"p36663",67,94,75,72,55,46,34,47,45,43
"p36664",63,80,71,61,51,42,67,55,47,43
"p36665",53,76,76,74,70,67,61,42,49,38
"p36666",62,98,73,63,49,62,58,38,48,36
"p36667",47,84,71,65,53,54,56,42,49,41
"p36668",62,85,68,73,71,63,40,41,38,34
"p36669",59,79,66,49,65,45,50,46,41,45
"p36670",71,99,70,63,69,58,37,37,43,40
"p36671",60,66,82,70,56,55,52,45,45,32
"p36672",48,69,75,73,58,66,54,42,35,33
"p36673",68,73,75,68,65,50,55,47,45,49
"p36674",45,85,59,73,74,58,53,37,40,28
"p36675",62,73,70,72,57,62,56,49,35,44
"p36676",80,90,78,70,65,53,46,45,48,33
"p36677",66,69,77,79,57,63,55,37,51,41
"p36678",75,75,86,63,76,58,34,38,41,38
"p36679",60,86,85,70,53,55,51,50,28,37
"p36680",59,83,70,62,52,52,58,46,28,33
"p36681",61,78,75,60,67,72,39,40,35,35
"p36682",57,89,83,62,51,47,41,36,33,42
"p36683",56,77,75,73,57,52,54,39,52,39
"p36684",64,81,72,54,73,51,37,34,38,40
"p36685",62,90,78,59,56,50,42,48,42,41
"p36686",60,77,79,73,54,57,40,43,48,24
"p36687",61,93,80,57,62,62,46,50,43,32
"p36688",61,81,66,45,59,45,52,33,39,31
"p36689",58,87,69,67,59,61,60,38,29,39
"p36690",51,91,95,50,63,59,54,42,41,30
"p36691",59,85,72,68,58,52,50,37,34,35
"p36692",53,85,74,66,63,33,58,36,43,40
"p36693",67,92,71,54,59,47,41,47,44,33
"p36694",58,63,71,70,80,54,46,41,35,42
"p36695",70,83,74,62,57,58,60,64,46,38
"p36696",72,78,64,86,63,64,31,48,37,40
"p36697",55,76,60,72,63,42,41,64,40,36
"p36698",55,81,65,70,56,60,37,45,46,44
"p36699",53,77,65,58,66,48,57,41,40,44
"p36700",70,99,87,68,49,62,50,43,39,35
"p36701",61,86,73,72,58,70,63,31,34,28
"p36702",63,86,74,84,60,62,42,52,41,31
"p36703",63,87,73,66,66,55,45,47,41,25
"p36704",50,72,83,59,54,60,48,46,34,41
"p36705",67,81,82,61,51,54,47,27,50,42
"p36706",65,75,79,62,56,48,49,53,38,38
"p36707",68,71,67,84,63,58,55,51,42,44
"p36708",56,73,72,69,50,53,57,52,28,45
"p36709",57,89,86,61,59,51,68,42,38,42
"p36710",46,87,80,53,42,59,53,47,34,33
"p36711",60,99,67,77,51,48,37,47,28,34
"p36712",59,87,82,67,47,59,42,36,42,32
"p36713",71,72,68,65,48,46,45,48,45,47
"p36714",68,83,73,77,74,50,47,41,39,42
"p36715",44,82,70,70,59,48,55,45,35,37
"p36716",70,86,84,69,51,49,51,60,38,45
"p36717",55,75,66,51,60,62,41,46,36,36
"p36718",72,68,85,72,52,45,52,40,40,41
"p36719",62,91,62,60,71,54,45,46,46,32
"p36720",57,88,87,66,58,56,70,32,34,33
"p36721",49,90,79,75,79,56,42,51,41,49
"p36722",71,94,64,76,53,59,43,45,36,42
"p36723",43,88,70,56,55,52,48,49,44,33
"p36724",60,85,68,66,43,62,54,31,40,32
"p36725",70,77,72,75,75,47,51,38,37,40
"p36726",53,74,67,70,56,55,47,54,47,38
"p36727",70,87,83,58,53,62,45,54,46,34
"p36728",56,64,75,64,76,52,53,41,43,31
"p36729",48,95,85,76,59,49,38,50,39,32
"p36730",65,85,62,78,62,57,62,41,31,37
"p36731",79,88,70,76,69,63,61,31,43,29
"p36732",53,82,79,51,56,52,49,54,44,31
"p36733",64,77,81,76,49,57,51,49,33,34
"p36734",49,80,63,63,54,64,39,43,43,24
"p36735",62,80,93,60,60,56,55,44,33,30
"p36736",77,79,65,98,56,49,58,40,46,50
"p36737",53,89,77,56,68,64,39,43,42,38
"p36738",55,82,83,86,67,62,47,50,50,38
"p36739",69,83,60,63,71,62,56,44,35,43
"p36740",57,80,85,63,60,48,45,48,49,27
"p36741",63,84,79,63,77,56,44,34,38,38
"p36742",53,90,74,68,56,70,49,51,40,44
"p36743",67,76,84,62,52,54,52,49,37,36
"p36744",54,78,62,68,67,54,58,48,40,34
"p36745",64,58,81,65,68,55,47,55,38,30
"p36746",62,86,66,62,47,47,49,46,46,26
"p36747",59,93,80,63,58,40,57,55,29,31
"p36748",66,75,78,70,59,59,55,37,33,34
"p36749",69,84,78,67,53,55,52,54,28,39
"p36750",65,87,78,74,55,61,53,45,32,32
"p36751",61,75,77,64,46,55,36,39,36,34
"p36752",77,87,70,68,70,47,43,56,42,40
"p36753",49,82,86,64,52,59,36,44,38,27
"p36754",53,98,94,66,49,47,58,37,38,35
"p36755",74,81,72,62,64,48,51,54,56,35
"p36756",58,83,83,85,63,63,57,51,49,41
"p36757",65,85,54,82,58,42,61,45,42,44
"p36758",75,86,74,65,52,65,57,46,45,53
"p36759",55,72,70,72,64,64,58,55,36,36
"p36760",60,72,69,68,62,58,36,42,48,43
"p36761",66,90,64,70,70,53,45,44,43,29
"p36762",68,80,78,68,66,53,46,57,35,30
"p36763",57,81,60,67,56,52,47,44,38,54
"p36764",66,81,76,56,60,57,48,46,40,39
"p36765",50,100,62,62,56,49,49,44,46,39
"p36766",49,96,80,70,54,45,58,44,49,32
"p36767",51,84,64,76,55,60,46,43,36,41
"p36768",55,77,63,63,66,56,45,44,28,34
"p36769",54,82,82,75,65,58,49,47,47,27
"p36770",55,77,83,81,53,52,55,52,39,34
"p36771",58,99,79,58,52,46,51,37,47,39
"p36772",65,67,89,65,65,54,48,40,41,40
"p36773",49,77,69,82,66,54,30,42,46,36
